,Area,Perimeter,Major_Axis,Minor_Axis,Eccentricity,Eqdiasq,Solidity,Convex_Area,Extent,Aspect_Ratio,Roundness,Compactness,Shapefactor_1,Shapefactor_2,Shapefactor_3,Shapefactor_4,Mean_RR,Mean_RG,Mean_RB,StdDev_RR,StdDev_RG,StdDev_RB,Skew_RR,Skew_RG,Skew_RB,Kurtosis_RR,Class
Area,1.0,0.11594133789695672,0.697782006912846,0.7958810520467771,-0.358891729124182,0.9973986547231531,0.36395911232569006,0.9438771151478195,0.33178406979116803,-0.4240246337883151,0.2504228611200588,0.5517106950808484,-0.8924932922985712,-0.6522053542959998,0.5450906485129479,0.29704271727121095,0.4589890571541651,0.43478621484719493,0.34302577603461476,0.024021476060773796,0.03211204146671406,-0.030651804747625026,-0.37546556246827567,-0.37574772076258517,-0.19349741689140862,0.21611163034786118,0.5892264922887338
Perimeter,0.11594133789695672,1.0,0.09429600266854286,0.3907396353263027,-0.3344827981335007,0.11363143218776833,-0.6710459895896619,0.36447360088256797,-0.4039163211664913,-0.31237304151178086,-0.8917768316547939,0.04462420229949997,-0.0810314965995735,0.2795904059809975,0.047527280914270525,-0.6316996538410196,-0.11283230886516629,-0.1419070948402998,-0.12953568623390307,0.05810433056988804,0.12653643506597284,0.022170637804482744,0.19761742463647455,0.12964094748908953,0.057866394377606344,-0.2468272248912261,0.1452899119262648
Major_Axis,0.697782006912846,0.09429600266854286,1.0,0.2725782821534906,0.2988357685985,0.7053333438239681,0.24782209138403238,0.661892229227645,0.18683005119857063,0.2650487756849344,0.1535917011664823,-0.20112114537216358,-0.3913097522748893,-0.7965256497392684,-0.20895625540294088,0.20174135580141295,0.31382648378043554,0.32256982331771283,0.22970719039629459,0.057641223221829546,0.04619075878904127,0.06502818489332725,-0.2733087444229447,-0.2461748125443248,-0.12078599376224985,0.20679129293744988,0.13684515601422914
Minor_Axis,0.7958810520467771,0.3907396353263027,0.2725782821534906,1.0,-0.8167313581442348,0.7931551970923932,-0.08555638926205231,0.8900025496753654,0.04744205046826411,-0.8390778240927037,-0.0665944557824312,0.7735124727479363,-0.8511674215973344,-0.08765741376557615,0.7716582345783489,-0.18144959130508442,0.3486878363195705,0.30090126279673,0.22578036336561078,0.023901182616922003,0.061691679051249955,-0.07121222272201613,-0.2378426581284239,-0.2778726237353987,-0.1491106209611808,0.059060671544697005,0.6681264169977954
Eccentricity,-0.358891729124182,-0.3344827981335007,0.2988357685985,-0.8167313581442348,1.0,-0.3527230515660419,0.25706048772352463,-0.48271326863562236,0.08096729146567513,0.9437509470125018,0.17166925809133776,-0.8468512967513125,0.5809830596414528,-0.3943923485109472,-0.8552220476181297,0.3256022262744529,-0.1407149788750699,-0.08873082206371107,-0.06946871580537516,0.026199690935836673,-0.01877351206882291,0.11605418949930715,0.06426566754475115,0.11888518623295569,0.06123331834631298,0.05558578660239347,-0.5467589893849228
Eqdiasq,0.9973986547231531,0.11363143218776833,0.7053333438239681,0.7931551970923932,-0.3527230515660419,1.0,0.3727785978040921,0.9406511887825222,0.3400727779401504,-0.423318076604273,0.25424169544082675,0.5499713075034983,-0.9068925585877248,-0.6653680589657228,0.5417469566649377,0.3024686362013754,0.4718034237518133,0.44584579476443637,0.34501986851154504,0.039177747994397195,0.04506627146190022,-0.017884001774347024,-0.3836919550951996,-0.3833346704626047,-0.19761318317489815,0.21235854184522762,0.577300127661567
Solidity,0.36395911232569006,-0.6710459895896619,0.24782209138403238,-0.08555638926205231,0.25706048772352463,0.3727785978040921,1.0,0.042000439406713365,0.6785990560676456,0.1778295723571312,0.7791340454453815,0.2261654216080549,-0.38061889525526715,-0.7271561106568472,0.21585989446027323,0.9495013738767331,0.324372736303605,0.34347558805758555,0.28676496957474995,-0.02642589808053945,-0.08593733237718244,-0.02478848675833668,-0.3675072620450514,-0.3040087926247086,-0.14571442172358942,0.31546854323395757,0.12534714943639266
Convex_Area,0.9438771151478195,0.36447360088256797,0.661892229227645,0.8900025496753654,-0.48271326863562236,0.9406511887825222,0.042000439406713365,1.0,0.12288051218322626,-0.5226366818214325,-0.007124724972169058,0.5159073688717707,-0.8346488952152283,-0.447161320271674,0.5113112509407942,-0.017051770739145863,0.38666304291646675,0.3522629789414778,0.2672466206250816,0.041743469898889614,0.07147939193510756,-0.019823165096324754,-0.2823836828623649,-0.30512392194541904,-0.16294233013081014,0.11750998977985631,0.5846183089054896
Extent,0.33178406979116803,-0.4039163211664913,0.18683005119857063,0.04744205046826411,0.08096729146567513,0.3400727779401504,0.6785990560676456,0.12288051218322626,1.0,0.023302802570009457,0.5122782740234376,0.25406376673481446,-0.3692373214922069,-0.5105757976757662,0.24563842910918024,0.6508962738499157,0.28820364964782524,0.29798641542061344,0.2600579637345083,0.09232987347918697,0.04735490189773583,0.049949740252384,-0.27595220195434483,-0.2472086577578712,-0.15335894891664223,0.13820629307938007,0.10020039094298613
Aspect_Ratio,-0.4240246337883151,-0.31237304151178086,0.2650487756849344,-0.8390778240927037,0.9437509470125018,-0.423318076604273,0.1778295723571312,-0.5226366818214325,0.023302802570009457,1.0,0.11589557201517768,-0.8968569690509474,0.6777345674038228,-0.3155736103509911,-0.892523291742116,0.2505870055436931,-0.2118946060461492,-0.15809785355179268,-0.11831429473603632,-0.025651482048030434,-0.06118556263699976,0.08115955001409449,0.11171581450564023,0.16346141683154,0.09518762692778725,0.05177897377325499,-0.5814694718049539
Roundness,0.2504228611200588,-0.8917768316547939,0.1535917011664823,-0.0665944557824312,0.17166925809133776,0.25424169544082675,0.7791340454453815,-0.007124724972169058,0.5122782740234376,0.11589557201517768,1.0,0.17122555833262032,-0.25703894211052686,-0.484802713797789,0.16547580593718722,0.6876583449011922,0.3317003235841526,0.35097832560865133,0.2853783104280249,-0.048204960324751314,-0.11930277784662201,-0.0590194564995534,-0.3794466766329079,-0.3102294492092752,-0.15309126057132527,0.36842816367560133,0.10576834072607978
Compactness,0.5517106950808484,0.04462420229949997,-0.20112114537216358,0.7735124727479363,-0.8468512967513125,0.5499713075034983,0.2261654216080549,0.5159073688717707,0.25406376673481446,-0.8968569690509474,0.17122555833262032,1.0,-0.8010087572882856,0.01656153023240954,0.9986254240151958,0.1819516316269935,0.2863183133844365,0.23869050664790697,0.20275559141220273,-0.0074059375140643115,0.012326772987625962,-0.09497809416854038,-0.21055718547117616,-0.24210148827414263,-0.12861788405591576,0.047176101559023624,0.6249393144962915
Shapefactor_1,-0.8924932922985712,-0.0810314965995735,-0.3913097522748893,-0.8511674215973344,0.5809830596414528,-0.9068925585877248,-0.38061889525526715,-0.8346488952152283,-0.3692373214922069,0.6777345674038228,-0.25703894211052686,-0.8010087572882856,1.0,0.4672697076326456,-0.7869265036629604,-0.3050413192546016,-0.4770163701028048,-0.4332909740308255,-0.32164653705259444,-0.06887841905443112,-0.07383824933320852,0.01725898135877183,0.3754851493200358,0.3877288432738979,0.2060415890558002,-0.14242985728790103,-0.6155129100944697
Shapefactor_2,-0.6522053542959998,0.2795904059809975,-0.7965256497392684,-0.08765741376557615,-0.3943923485109472,-0.6653680589657228,-0.7271561106568472,-0.447161320271674,-0.5105757976757662,-0.3155736103509911,-0.484802713797789,0.01656153023240954,0.4672697076326456,1.0,0.027550043445994474,-0.7302675745898035,-0.35074244204718136,-0.3615685155081688,-0.2829987935085185,-0.05104967123198164,-0.018118138290662375,-0.07161423155911054,0.3361792258040892,0.2908258830956252,0.14858471027040668,-0.24841237269157956,-0.12618762687035256
Shapefactor_3,0.5450906485129479,0.047527280914270525,-0.20895625540294088,0.7716582345783489,-0.8552220476181297,0.5417469566649377,0.21585989446027323,0.5113112509407942,0.24563842910918024,-0.892523291742116,0.16547580593718722,0.9986254240151958,-0.7869265036629604,0.027550043445994474,1.0,0.1742208965476487,0.2744642496538932,0.227423098889953,0.19727732371601903,-0.016075995070014,0.0050183317243794635,-0.10060744719379276,-0.20041200253503216,-0.23261847910211017,-0.12140917488508134,0.047270015185040475,0.6263036996157407
Shapefactor_4,0.29704271727121095,-0.6316996538410196,0.20174135580141295,-0.18144959130508442,0.3256022262744529,0.3024686362013754,0.9495013738767331,-0.017051770739145863,0.6508962738499157,0.2505870055436931,0.6876583449011922,0.1819516316269935,-0.3050413192546016,-0.7302675745898035,0.1742208965476487,1.0,0.22000381260122434,0.23547653343702288,0.21522532137083378,-0.028817333960532477,-0.07769016381221537,0.0045826879995964475,-0.26723007115670144,-0.2134446234867945,-0.10151809604147907,0.23613065237300346,0.06308362209835329
